NAME,POS,3PM,REB,AST,STL,BLK,TO,PTS
Frank Jackson,,0.5,0.7,0.6,0.1,0,0.7,4.3
Michael Carter-Williams,,0.4,0.9,1.3,0.6,0.4,0.7,4.3
Jerian Grant,,0.7,1.9,3.4,1,0.1,1.2,4.2
Terrance Ferguson,,0.8,2,0.8,0.5,0.2,0.8,4.2
Seth Curry,,0.9,1.3,0.8,0.1,0.1,0.8,4.2
Amir Johnson,,0.3,3,1.4,0.2,0.3,1.1,4.2
Christian Wood,,0.3,2.7,0.3,0,0,0.3,4.2
Dante Cunningham,,0.7,4.6,1.2,0.7,0.4,0.6,4.2
Cheick Diallo,,0,3.7,0.4,0.4,0.6,0.4,4.1
Zaza Pachulia,,0,4.5,1.2,0.7,0.2,0.7,4
Ian Clark,,0.6,1.5,1.3,0.3,0.1,0.8,4
Jared Terrell,,1,1,1,2,1,2,4
Joakim Noah,,0,3,0,0,0,1,4
Jordan Loyd,,0.7,1.7,0.3,0,0,0.3,4
Sterling Brown,,0.5,1.7,0.5,0.2,0.1,0.5,4
Lance Thomas,,0.5,2.2,0.5,0.6,0.3,0.5,3.9
Johnathan Williams,,0,3.5,0.7,0.2,0.5,0.3,3.8
Tyler Dorsey,,0.3,1.6,0.8,0.3,0,0.3,3.8
Tim Frazier,,0.6,2.4,4,0.4,0.1,1.2,3.8
Jon Leuer,,0,2.3,0.3,0.2,0,0.3,3.8
Luke Kennard,,0.2,1.2,0.6,0.6,0.2,0.6,3.8
Torrey Craig,,0.4,3.5,0.5,0.5,0.4,0.7,3.8
Ian Mahinmi,,0.1,3.4,0.4,0.5,0.4,0.5,3.8
Maurice Harkless,,0.5,3.2,0.6,0.8,0.8,0.6,3.8
Andrew Harrison,,0.3,1.3,1.4,0.3,0.2,0.8,3.8
Ryan Anderson,,0.5,3,1.1,0.2,0.1,0.8,3.7
Greg Monroe,,0,3.1,0.4,0.4,0,0.7,3.7
Jason Smith,,0.3,3.1,1,0.1,0.4,0.6,3.7
Tyson Chandler,,0,6.8,0.7,0.4,0.3,1,3.6
Bruce Brown,,0.1,2.3,0.8,0.7,0.3,0.5,3.6
